// x, y, n_BG, n_sig(C1N1 1TeV), n_sig(C1N1 3TeV), n_sig(C1C1 1TeV), n_sig(C1C1 3TeV) 
8500, 4600, 2724.21+/-513.452, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 4700, 2724.21+/-513.452, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 4800, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 4900, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5000, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5100, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5200, 2530.16+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5300, 2529.63+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5400, 2529.63+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5500, 2529.63+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5600, 2529.63+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5700, 2335.58+/-475.371, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5800, 2238.56+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 2.21392+/-1.33606;
8500, 5900, 2238.56+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6000, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6100, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6200, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6300, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6400, 2134.53+/-455.084, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6500, 2134.53+/-455.084, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6600, 2037.51+/-444.62, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6700, 2037.51+/-444.62, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6800, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 6900, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7000, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7100, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7200, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7300, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7400, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7500, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7600, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7700, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7800, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 7900, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 8000, 1843.46+/-422.918, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8500, 8100, 1746.43+/-411.639, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8500, 8200, 1746.43+/-411.639, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8500, 8300, 1552.39+/-388.097, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8500, 8400, 1552.39+/-388.097, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8500, 8500, 1455.36+/-375.773, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8500, 8600, 1455.36+/-375.773, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8500, 8700, 1358.34+/-363.031, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8500, 8800, 1261.31+/-349.826, 28.0665+/-28.0665, 0+/-0, 0+/-0, 1.29178+/-0.9668;
8500, 8900, 1067.27+/-321.793, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8500, 9000, 970.241+/-306.817, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8500, 9100, 582.145+/-237.66, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8500, 9200, 582.145+/-237.66, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8500, 9300, 388.097+/-194.048, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8500, 9400, 388.097+/-194.048, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8500, 9500, 194.048+/-137.213, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8500, 9600, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8500, 9700, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8500, 9800, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8500, 9900, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8500, 10000, 194.048+/-137.213, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8600, 1000, 19771.9+/-1990.25, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 2000, 4386.15+/-752.457, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3000, 3176.7+/-579.198, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3100, 2946.88+/-531.654, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3200, 2932.88+/-531.562, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3300, 2828.77+/-522.585, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3400, 2731.75+/-513.5, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3500, 2634.73+/-504.25, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3600, 2627.72+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3700, 2627.72+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3800, 2627.72+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 3900, 2627.72+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4000, 2627.72+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4100, 2627.72+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4200, 2627.72+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4300, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4400, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4500, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4600, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4700, 2627.19+/-504.201, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4800, 2530.16+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 4900, 2530.16+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5000, 2530.16+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5100, 2530.16+/-494.778, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5200, 2433.14+/-485.172, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5300, 2432.61+/-485.171, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5400, 2432.61+/-485.171, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5500, 2432.61+/-485.171, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5600, 2432.61+/-485.171, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5700, 2335.58+/-475.371, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5800, 2238.56+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 5900, 2238.56+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6000, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6100, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6200, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6300, 2231.56+/-465.311, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6400, 2134.53+/-455.084, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6500, 2134.53+/-455.084, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6600, 2037.51+/-444.62, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6700, 2037.51+/-444.62, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6800, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 6900, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7000, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7100, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7200, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7300, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7400, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7500, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7600, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7700, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7800, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 7900, 1940.48+/-433.905, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 8000, 1843.46+/-422.918, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 1.29178+/-0.9668;
8600, 8100, 1746.43+/-411.639, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8600, 8200, 1746.43+/-411.639, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8600, 8300, 1552.39+/-388.097, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8600, 8400, 1552.39+/-388.097, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8600, 8500, 1455.36+/-375.773, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8600, 8600, 1455.36+/-375.773, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8600, 8700, 1358.34+/-363.031, 28.0665+/-28.0665, 2.5859+/-2.5859, 0+/-0, 1.29178+/-0.9668;
8600, 8800, 1261.31+/-349.826, 28.0665+/-28.0665, 0+/-0, 0+/-0, 1.29178+/-0.9668;
8600, 8900, 1067.27+/-321.793, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8600, 9000, 970.241+/-306.817, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8600, 9100, 582.145+/-237.66, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8600, 9200, 582.145+/-237.66, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8600, 9300, 388.097+/-194.048, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8600, 9400, 388.097+/-194.048, 28.0665+/-28.0665, 0+/-0, 0+/-0, 0.869893+/-0.869893;
8600, 9500, 194.048+/-137.213, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8600, 9600, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8600, 9700, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8600, 9800, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8600, 9900, 0+/-0, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8600, 10000, 194.048+/-137.213, 0+/-0, 0+/-0, 0+/-0, 0+/-0;
8700, 1000, 16729.8+/-1825.61, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 2000, 3991.05+/-726.971, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3000, 2781.6+/-545.679, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3100, 2551.79+/-494.927, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3200, 2537.78+/-494.828, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3300, 2440.68+/-485.222, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3400, 2343.65+/-475.423, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3500, 2246.63+/-465.417, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3600, 2239.63+/-465.365, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3700, 2239.63+/-465.365, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3800, 2239.63+/-465.365, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 3900, 2239.63+/-465.365, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4000, 2239.63+/-465.365, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4100, 2239.63+/-465.365, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4200, 2239.63+/-465.365, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4300, 2239.09+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4400, 2239.09+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4500, 2239.09+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4600, 2239.09+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4700, 2239.09+/-465.364, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4800, 2142.07+/-455.138, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 4900, 2142.07+/-455.138, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 5000, 2142.07+/-455.138, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 5100, 2142.07+/-455.138, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 5200, 2045.04+/-444.676, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 5300, 2044.51+/-444.676, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 5400, 2044.51+/-444.676, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 5500, 2044.51+/-444.676, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
8700, 5600, 2044.51+/-444.676, 28.0665+/-28.0665, 2.5859+/-2.5859, 19.5648+/-19.5648, 0.869893+/-0.869893;
